state,cause,year,fires,acres,median_size
AL,Children,2006,71,1746.6999999999998,1.0
AL,Children,2007,43,177.44999999999996,1.5
AL,Children,2008,26,167.5,1.0
AL,Children,2009,14,85.69999999999999,2.0
AL,Children,2010,16,118.67999999999999,3.75
AL,Children,2011,20,60.8,1.0
AL,Children,2012,10,77.0,3.5
AL,Children,2013,8,58.35,5.0
AL,Children,2014,10,39.55,2.0
AL,Children,2015,13,98.85,1.0
AL,Debris Burning,1992,8,68.7,5.0
AL,Debris Burning,1993,4,28.4,6.449999999999999
AL,Debris Burning,1994,1846,23658.39999999999,3.5
AL,Debris Burning,1995,2146,22698.499999999975,3.0
AL,Debris Burning,1996,1998,27454.299999999977,3.5
AL,Debris Burning,1997,824,4996.599999999997,2.0
AL,Debris Burning,1998,1022,5504.500000000005,2.0
AL,Debris Burning,1999,1251,9890.000000000016,2.0
AL,Debris Burning,2000,1846,15144.000000000051,2.0
AL,Debris Burning,2001,1077,7348.500000000005,2.0
AL,Debris Burning,2002,1012,9139.90000000001,3.0
AL,Debris Burning,2003,599,4219.099999999996,3.0
AL,Debris Burning,2004,1061,11179.840000000015,3.0
AL,Debris Burning,2005,862,8255.530000000017,3.0
AL,Debris Burning,2006,1277,14982.800000000016,3.5
AL,Debris Burning,2007,1339,15586.040000000028,2.5
AL,Debris Burning,2008,771,5930.760000000004,3.0
AL,Debris Burning,2009,541,9669.87,5.0
AL,Debris Burning,2010,1173,12193.18000000001,3.0
AL,Debris Burning,2011,668,9021.350000000002,3.0
AL,Debris Burning,2012,2,74.0,37.0
AL,Debris Burning,2013,5,83.8,15.0
AL,Debris Burning,2014,1,4.0,4.0
AL,Debris Burning,2015,452,4156.839999999999,3.0
AL,Equipment Use,1993,3,24.1,6.0
AL,Equipment Use,1994,33,395.80000000000007,5.0
AL,Equipment Use,1995,47,343.5,2.5
AL,Equipment Use,1996,30,307.7,3.75
AL,Equipment Use,1997,160,510.70000000000033,1.0
AL,Equipment Use,1998,193,722.1000000000008,0.5
AL,Equipment Use,1999,291,2657.499999999994,1.0
AL,Equipment Use,2000,365,2862.3999999999974,1.5
AL,Equipment Use,2001,192,655.5000000000011,1.0
AL,Equipment Use,2002,167,1214.0999999999995,1.5
AL,Equipment Use,2003,113,388.3500000000003,0.5
AL,Equipment Use,2004,134,823.3500000000003,1.0
AL,Equipment Use,2005,115,843.5000000000007,1.2
AL,Equipment Use,2006,245,4420.539999999998,3.0
AL,Equipment Use,2007,228,1594.619999999999,2.15
AL,Equipment Use,2008,138,1331.82,2.5
AL,Equipment Use,2009,75,716.6600000000002,1.0
AL,Equipment Use,2010,188,1827.4799999999989,3.85
AL,Equipment Use,2011,94,2144.449999999999,2.25
AL,Equipment Use,2012,70,670.4200000000001,3.5
AL,Equipment Use,2013,73,703.8800000000005,0.5
AL,Equipment Use,2014,77,770.4100000000005,2.0
AL,Equipment Use,2015,113,802.1200000000002,1.02
AL,Fireworks,1992,1,32.0,32.0
AL,Fireworks,1993,1,1.0,1.0
AL,Fireworks,2009,8,36.370000000000005,1.25
AL,Fireworks,2010,13,141.7,5.0
AL,Fireworks,2011,8,478.5,5.5
AL,Fireworks,2012,11,56.5,3.0
AL,Fireworks,2013,3,47.0,18.0
AL,Fireworks,2014,8,57.6,3.0
